character,dialogue
OBI-WAN,I have a bad feeling about this.
OBI-WAN,"It's not about the mission, Master, it's"
OBI-WAN,Master Yoda says I should be mindful of the future...
OBI-WAN,"Yes, Master...how do you think the trade viceroy will deal with"
OBI-WAN,"Offhand, I'd say this mission is past the negotiaion stage."
OBI-WAN,They have shield generators!
OBI-WAN,It's an invisible army.
OBI-WAN,"You were right about one thing, Master. The negotiations were"
OBI-WAN,"Sorry, Master, the water fried my weapon."
OBI-WAN,"Yes, Master."
OBI-WAN,What's this?
OBI-WAN,"When they find us, they will crush us, grind us into little"
OBI-WAN,"Don't worry, this has not been our day for warm welcomes."
OBI-WAN,"After those droids take control of the surface, they will come"
OBI-WAN,You and the Naboo form a symbiont circle. What happens to noe of
OBI-WAN,"Master, whats a bongo?"
OBI-WAN,"We are short of time, Master."
OBI-WAN,"Master, why do you keep dragging these pathetic life forms along"
OBI-WAN,"Why were you banished, Jar Jar?"
OBI-WAN,They banished you because you're clumsy?
OBI-WAN,Give me the controls.
OBI-WAN,.....we're losing power.
OBI-WAN,Power's back.
OBI-WAN,You overdid it.
OBI-WAN,What is it?
OBI-WAN,Get up here!
OBI-WAN,That was close.
PADME,"We are brave, Your Highness."
OBI-WAN,I'll take care of that. OBI-WAN heads toward the group of
OBI-WAN,"Now stay here, and keep out of trouble."
OBI-WAN,"Here, Master. Tatooine... It's small, out of the way, poor... The"
OBI-WAN,It's risky...but there's no alternative.
PADME,That's all right.
PADME,Thank you. This little guy is quite a mess.
OBI-WAN,Tahyt's it. Tatooine.
OBI-WAN,"Sorry, Qui-Gon's right. You'll make things less obvious."
OBI-WAN,(Cant'd) The Hyperdrive generator is gone. We will need a new
OBI-WAN,"I fell it also, Master."
PADME,I've been trained in defense... I can take care of myself.
PADME,....like us. JAR JAR is in a constant state of panic.
ANAKIN,(subtitled) Mel tassa cho-passa... (I was cleaning the bin like
ANAKIN,Are you an angel?
PADME,What?
ANAKIN,An angel. I've heard the deep space pilots talk about them. They
ANAKIN,You must be one...maybe you just don't know it.
PADME,You're a funny little boy. How do you know so much?
ANAKIN,"Since I was very little, three, I think. My Mom and I were sold to"
PADME,You're...a slave?
ANAKIN,I am a person! My name is Anakin.
PADME,I'm sorry. I don't fully understand. (looking around)This is a
ANAKIN,You are a strange girl to me.
ANAKIN,(Cont'd) Hit the nose!
ANAKIN,...wouldn't have lasted long if I weren't so good at fixing
PADME,"I'm glad I met you,....ah..."
ANAKIN,...Anakin.
PADME,Anakin.
ANAKIN,Anakin Skywalker.
PADME,Padme Naberrie.
ANAKIN,I'm glad I met you too.
ANAKIN,(subtitled) La lova num botaffa. (They seemed nice to me.) WATTO :
OBI-WAN,"(V.O) A few containers of supplies, the Queen's wardrobe, maybe."
ANAKIN,(V.O) Because you're afraid.
ANAKIN,"(subtitled) Chess ko, Sebulba...Coo wolpa tooney rana. (Careful,"
ANAKIN,(subtitled) Oh da Hutt...cha porko ootman geesa...me teesa rodda
ANAKIN,"(subtitled) Eh, chee bana do mullee ra. (Yeah, it'd be a pity if"
ANAKIN,(Cont'd) Hi! Your buddy here was about to be turned into orange
ANAKIN,Fear attracts the fearful. He was trying to overcome his fear by
PADME,And that works for you.
ANAKIN,To a point. (he smiles)
OBI-WAN,This storm's going to slow them down.
ANAKIN,"How are you feeling today, Jira?"
ANAKIN,Guess what? I've found that cooling unit I've been searching for.
ANAKIN,I'll take four pallies today. (to Padme) You'll like these...
ANAKIN,"(Cont'd) Whoops, I thought I had more...Make thgat three, I'm not"
ANAKIN,(to QUI-GON) Do you have shelter?
ANAKIN,Is it far?
PADME,On the outskirts.
ANAKIN,"You'll never reach the outskirts in time...sandstorms are very,"
ANAKIN,Mom! Mom! I'm home.
ANAKIN,"These are my friends, Mom. This is Padme, and...gee, I don't know"
PADME,"...and our droid, Artoo-Detoo."
ANAKIN,I'm building a droid. You wanna see?
ANAKIN,"A sandstorm, Mom. Listen."
ANAKIN,Come on! Let me show you Threepio!
ANAKIN,Isn't he great?! He's not finished yet.
PADME,He's wonderful!
ANAKIN,You reall like him? He's a protocol droid...to help Mom. Watch!
THREEPIO,"How do you do, I am See-Threepio, Human Cyborg Relations. How"
PADME,He's perfect.
ANAKIN,"When the storm is over, you can see my racer. I'm building a"
THREEPIO,I beg your pardon....what do you mean I'm naked?
THREEPIO,"(Cont'd) My parts are showing? Oh, my goodness. How"
OBI-WAN,It's a trick. Send no reply... Send no transmission of any kind.
OBI-WAN,...the Queen is upset...but absolutly no reply was sent.
OBI-WAN,What if it is true and the people are dying?
ANAKIN,"I've been working on a scanner to try and locate them, but no"
ANAKIN,...and they blow you up...poof!
PADME,I can't believe there is still slavery in the galaxy. The
ANAKIN,Have you ever seen a Podrace?
ANAKIN,I'm the only human who can do it.
ANAKIN,"(Cont'd) Mom, what? I'm not bragging. It's true. Watto says he's"
ANAKIN,I...I was wondering...something...
