character,dialogue
YODA,"Worse than war, I fear... Muchworse. "
YODA,Impossible to see ... The Dark Sideclouds everything. But this I amsure of -(opens his eyes)Do their duty the Jedi will.
YODA,With you the force is strong...young Senator. To see you alivebrings warm feeling to my heart.
YODA,"In dark times nothing is what itappears to be, but the fact remainsSenator, in grave danger you are."
YODA,"Too little about yourself youworry, Senator, and too much aboutpolitics. Be mindful of yourdanger, Padmé. Accept our help."
OBI-WAN,"It's Good to see you, too, Jar Jar."
ANAKIN,"Hi, Jar Jar."
OBI-WAN,"It's a great pleasure to see you again,M'Lady."
OBI-WAN,I'm sure the Jedi Council havetheir reasons.
ANAKIN,"(trying to be smooth)So have you... grown morebeautiful, I mean... and muchshorter... for a Senator, I mean."
OBI-WAN,"Our presence will be invisible,M'Lady."
OBI-WAN,"(frowning)We're here to protect youSenator, not to start aninvestigation."
ANAKIN,"We will find out who is trying tokill you Padmé, I promise you."
OBI-WAN,"We are not going to exceed ourmandate, my young Padawan learner."
ANAKIN,"I meant in the interest ofprotecting her, Master, of course."
OBI-WAN,"We are not going through thisexercise again, Anakin. You willpay attention to my lead."
ANAKIN,Why?
OBI-WAN,What??!!
ANAKIN,"Why else do you think we wereassigned to her, if not to findthe killer? Protection is a jobfor local security... not Jedi.It's overkill, Master.Investigation is implied in ourmandate."
OBI-WAN,"We will do as the Council hasinstructed, and you will learnyour place, young one."
ANAKIN,"She didn't even recognise me, JarJar. I thought about her everyday since we parted... and she'sforgotten me completely."
OBI-WAN,"Anakin, you're focusing on theNegative again. Be mindful of yourthoughts. She was glad to see us.Now lets check the security here."
ANAKIN,"Yes, my master."
YODA,"Masking the future, is thisdisturbance in the Force."
YODA,And only those who have turned tothe Dark Side can sense thepossibilities of the future. Onlygoing through the Dark Side can wesee.
YODA,"...Out there, they are. Acertainty that is."
YODA,Only if he chooses to follow hisdestiny.
OBI-WAN,Captain Typho has more than enoughmen downstairs. No assassin willtry that way. Any activity uphere?
ANAKIN,Quiet as a tomb. I don't likejust waiting here for something tohappen to her.
OBI-WAN,What's going on?
ANAKIN,She covered that camera. I don'tthink she liked me watching her.
OBI-WAN,What is she thinking?
ANAKIN,She programmed Artoo to warn us ifthere's an intruder.
OBI-WAN,It's not an intruder I'm worriedabout. There are many other waysto kill a Senator.
ANAKIN,"I know, but we also want to catchthis assassin. Don't we, Master?"
OBI-WAN,You're using her as bait??
ANAKIN,It was her idea... No harm willcome to her. I can senseeverything going on in that room.Trust me.
OBI-WAN,"It's too risky... and your sensesaren't that attuned, youngapprentice."
ANAKIN,And yours are?
OBI-WAN,Possibly.
OBI-WAN,You look tired.
ANAKIN,"I don't sleep well, anymore."
OBI-WAN,Because of your mother?
ANAKIN,I don't know why I keep dreamingAbout her now. I haven't seen hersince I was little.
OBI-WAN,Dreams pass in time.
ANAKIN,I'd rather dream of Padmé. JustBeing around her again is...intoxicating.
OBI-WAN,"Mind your thoughts, Anakin, theybetray you. You've made acommitment to the Jedi order... acommitment not easily broken...and don't forget she's apolitician. They're not to betrusted."
ANAKIN,"She's not like the others in theSenate, Master."
OBI-WAN,It's been my experience thatSenators are only focused onpleasing those who fund theircampaigns... and they are morethan willing to forget theniceties of democracy to get thosefunds.
ANAKIN,"Not another lecture, Master. Noton the economics of politics....It's too early in the morning... andbesides, you're generalising. TheChancellor doesn't appear tobe corrupt."
OBI-WAN,"Palpatine's a politician, I'veobserved that he is very clever atfollowing the passions andprejudices of the Senators."
ANAKIN,I think he is a good man. Myinstincts are very positiveabout...
OBI-WAN,"I sense it, too."
ANAKIN,Stay here!
OBI-WAN,I have a bad feeling about this.
ANAKIN,That was wacky! I almost lost youin the traffic.
OBI-WAN,What took you so long?
ANAKIN,"Oh, you know, Master, I couldn'tfind a speeder I really liked,with an open cockpit... and withthe right speed capabilities...and then you know I had to get areally gonzo color..."
OBI-WAN,"If you'd spend as much timeworking on your saber skills asyou do on your wit, young Padawan,you would rival Master Yoda as aswordsman."
ANAKIN,I thought I already did.
OBI-WAN,"Only in your mind, my very youngapprentice. Careful!! Hey, easy!!"
ANAKIN,"Sorry, I forgot you don't likeflying, Master."
OBI-WAN,I don't mind flying... butwhat you're doing is suicide!
ANAKIN,"Master, you know I've been flyingsince before I could walk. I'm verygood at this."
OBI-WAN,Just slow down!
OBI-WAN,(continuing)Wait! Don't go in there!
OBI-WAN,(continuing)You know I don't like it when youdo that!
ANAKIN,"Sorry, Master. Don't worry, thisguy's gonna kill himself anyminute now!"
OBI-WAN,What are you doing? He's gonnablast me!
ANAKIN,Right - this isn't working.
OBI-WAN,That was too close!
ANAKIN,Clear that!
OBI-WAN,What??
ANAKIN,Clear the flag! We're losingpower! Hurry!
OBI-WAN,Whooooaaa! Don't do that! Idon't  like it when you do that!
ANAKIN,"So sorry, Master."
OBI-WAN,It's dangerous near those powercouplings! Slow down! Don't gothrough there!
OBI-WAN,"(continuing)Yiiii, what are you doing?"
ANAKIN,"Sorry, Master!"
OBI-WAN,"(sarcastically)Oh, that was good..."
ANAKIN,That was crazy!!!
ANAKIN,"(continuing)Ahh, damn."
OBI-WAN,Stop!!
ANAKIN,"No, we can make it."
OBI-WAN,I'm crazy... I'm crazy... I'mcrazy.
ANAKIN,But it worked... we made it.
OBI-WAN,(angrily)It didn't work... we've stalled!And you almost got us killed!
ANAKIN,I think we're still alive.
OBI-WAN,(very angrily)It was stupid!
ANAKIN,(sheepishly)I could have made it...
OBI-WAN,(furious)But you didn't!!! And now we'velost him.
ANAKIN,No we didnt...
OBI-WAN,"Where are you going?! He wentdown there, the other way."
ANAKIN,This is a shortcut... I think.
OBI-WAN,"What do you mean, You think?What kind of shortcut?! He wentcompletely the other way! Youvelost him!"
ANAKIN,"Master, if we keep this chasegoing, that creeps gonna end updeep fried. Personally, Id verymuch like to find out who in thehell he is and who hes workingfor..."
OBI-WAN,"(sarcastic)Oh, so thats why were going inthe wrong direction."
OBI-WAN,"(continuing)Well, you lost him."
ANAKIN,"Im deeply sorry, Master."
ANAKIN,(continuing)Excuse me for a moment.
OBI-WAN,Anakin!
ANAKIN,"She went into that club, Master."
OBI-WAN,Patience.
OBI-WAN, (continuing)Here. Next time try not to lose it.
ANAKIN,"Sorry, Master."
OBI-WAN,A Jedi's saber is his mostprecious possession.
ANAKIN,"Yes, Master."
OBI-WAN,He must keep it with him at alltimes.
ANAKIN,"I know, Master."
OBI-WAN,This weapon is your life!
ANAKIN,I've heard this lesson before...
OBI-WAN,"But, you haven't learned anything,Anakin."
ANAKIN,"I try, Master."
OBI-WAN,Why do I think you are going to bethe death of me?!
ANAKIN,Don't say that Master... You'rethe closest thing I have to afather... I love you. I don't wantto cause you pain.
OBI-WAN,Then why don't you listen to me?!
ANAKIN,"I will. I'll do better, I promise."
OBI-WAN,Do you see him him?
ANAKIN,I think he's a she...
OBI-WAN,Then be extra careful...(nods to a room)Check it out.
ANAKIN,"Where are you going, Master?"
OBI-WAN,To get a drink.
OBI-WAN,You don't want to sell me death-sticks.
OBI-WAN,You want to go home and rethink your life.
ANAKIN,Easy... Official business. Goback to your drinks.
OBI-WAN,Do you know who it was you weretrying to kill?
OBI-WAN,Who hired you?
ANAKIN,Tell us!
OBI-WAN,This wound's going to needtreatment.
ANAKIN,Who hired you? Tell us... tell usnow!
OBI-WAN,Toxic Dart...
ANAKIN,"Don't worry. Now that the Councilhas ordered an investigation, itwon't take Master Obi-Wan long tofind that bounty hunter."
ANAKIN,Sometimes we have to let go of ourpride and do what is requested ofus.
ANAKIN,"Sorry, M'lady. I was only tryingto..."
ANAKIN,Please don't call me that.
ANAKIN,Annie...
ANAKIN,It's Anakin. When you say Annieit's like I'm still a littleboy... and I'm not.
ANAKIN,Master Obi-Wan manages not to seeit...
ANAKIN,"Don't get me wrong... Obi-Wan isa great mentor. As wise as MasterYoda and as powerful as MasterWindu. I am truly thankful to behis apprentice. Only... althoughI'm a Padawan learner, in someways... a lot of ways... I'm aheadof him. I'm ready for the trials.I know I am! He knows it too. Hebelieves I'm too unpredictable...Other Jedi my age have gonethrough the trials and made it...I know I started my traininglate... but he won't let me moveon."
ANAKIN,It's worse... he's overlycritical. He never listens! Hejust doesn't understand! It's notfair!
ANAKIN,I'm not whining! I'm not.
ANAKIN,I know...
PADME,Anakin...
ANAKIN,I am grown up. You said ityourself.
ANAKIN,Why not?
ANAKIN,"(laughing)Ahh... so, you have Jedi powerstoo?"
ANAKIN,"Sorry, M'lady."
OBI-WAN,"Anakin, you stay put on Naboo.Do not attract any attention. Doabsolutely nothing withoutchecking in with me or the Council."
ANAKIN,"Yes, Master."
OBI-WAN,"(to Padme)I will get to the bottom of thisplot quickly, M'Lady. You'll beback here in no time."
ANAKIN,Time to go.
OBI-WAN,May the Force be with you.
ANAKIN,"May the Force be with you, Master."
ANAKIN,I'm kinda scared too. This is myfirst assignment on my own.
OBI-WAN,I hope he doesn't try anythingfoolish.
OBI-WAN,It's a toxic dart. I need to knowwhere it came from and who made it.
OBI-WAN,Excuse me? Could you try againplease?
OBI-WAN,"Thanks for your assistance! Youmay not be able to figure thisout, but I think I know someonewho might."
ANAKIN,"No, no, Mom, no..."
ANAKIN,(continuing)What?
ANAKIN,Thank you.
ANAKIN,I look forward to seeing Nabooagain. I've thought about it everyday since I left. It's by far themost beautiful place I've everseen...
ANAKIN,I think time has given me muchmore mature feelings to enhance myperception.
ANAKIN,Or be with the people I love.
ANAKIN,"Attachment is forbidden.Possession is forbidden.Compassion, which I would defineas unconditional love, is centralto a Jedi's life, so you might saywe're encouraged to love."
