character,dialogue
ANAKIN,"There isn't a droid made that can out fly you, Master, and no other way to get to the Chancellor . . ."
OBI-WAN,"Look out, four droids inbound . . ."
OBI-WAN,We've got to split them up.
ANAKIN,"Break left, fly through the guns on that tower."
OBI-WAN,Easy for you to say . . . why am I always the bait?
ANAKIN,Don't worry. I'm coming around behind you.
OBI-WAN,"Anakin, they're all over me!"
ANAKIN,"Dead ahead! Closing . . . lock onto him, Artoo . . ."
ANAKIN,"(continuing, laughs) We got him, Artoo!"
ANAKIN,"I copy, Artoo."
OBI-WAN,I'm going down on the deck.
ANAKIN,Good idea ... I need some room to maneuver.
ANAKIN,"(continuing) Cut right. Do you hear me?! Cut right. Don't let him get a handle on you. Come on, Artoo, lock on! Lock on!"
OBI-WAN,Hurry up! I don't like this!
OBI-WAN,(continuing) Ouch!
OBI-WAN,"(continuing) Don't even try to fix it, Arfour. I've shut it down."
ANAKIN,We're locked on ... we've got him . . .
ANAKIN,"(continuing) Yeah! We got him . . . good going, Artoo."
OBI-WAN,Next time you're the bait . . . Now let's find the Command Ship and get on with it ...
ANAKIN,"Lock onto them, Artoo. Master, General Grievous's ship is directly ahead."
ANAKIN,(continuing) The one crawling with vulture droids.
OBI-WAN,"I see it. Oh, this is going to be easy."
ANAKIN,"Come on, Master."
OBI-WAN,"Not this time. There's too much at stake. We need help. Odd Ball, do you copy?"
OBI-WAN,Mark my position and form your squad up behind me . . .
ANAKIN,"This is where the fun begins. Ten Vulture Droids straight ahead, coming down the left side."
OBI-WAN,Add five Tri-fighters on the right . . .
ANAKIN,I'm going head to head. See you.
OBI-WAN,"Take it easy, Anakin."
ANAKIN,Incoming!!
OBI-WAN,Five more on the right!
ANAKIN,Here we go.
OBI-WAN,I'm going high and right.
ANAKIN,Hang on. There are four more of them.
OBI-WAN,Stay with me . . . swing back and right . . . help me engage. Back off ... Let them pass between us.
ANAKIN,I'm coming around. I'm coming around on your tail.
OBI-WAN,"All right, engage . . . and hurry. These droids are all over me like a rash."
ANAKIN,How many back there. Artoo? (Artoo beeps) Three . . . (continuing) Four . . . that's not good.
OBI-WAN,"Anakin, you have four on your tail."
ANAKIN,I know. I know!
OBI-WAN,Four more closing from your left.
ANAKIN,I know. I know!
OBI-WAN,Break right and go high.
ANAKIN,I'm going low and left.
OBI-WAN,(to himself) He still has much to learn.
ANAKIN,"Hang on, Artoo. Obi-Wan, do you copy? I'm going to pull them through the needle . . ."
OBI-WAN,Too dangerous. First Jedi rule
ANAKIN,"Sorry, no choice. Come down here and thin them out a little."
OBI-WAN,Just keep me steady . . . hold on ... not yet. . . now break left.
OBI-WAN,"(continuing) You'll never get through there, Anakin. It's too tight."
ANAKIN,"Easy, Artoo . . . we've done this before."
OBI-WAN,"Use the Force, think yourself through, the ship will follow."
ANAKIN,"Wrong thought, Artoo."
ANAKIN,(continuing) I'm through.
ANAKIN,I'm going to go help them out!
OBI-WAN,"No, no! They are doing their job so we can do ours. Head for the Command Ship!"
ANAKIN,Missiles! Pull up!
OBI-WAN,They overshot us . . .
ANAKIN,They're coming around!
OBI-WAN,"All right, Arfour. No, no. Nothing too fancy."
ANAKIN,Surge all power units. Artoo! Stand by the reverse thrusters.
ANAKIN,We got 'em. Artoo!
OBI-WAN,Flying is for droids.
OBI-WAN,(continuing) I'm hit! Anakin?
ANAKIN,I see them . . . Buzz Droids.
OBI-WAN,"Arfour, be careful. You have one . . ."
OBI-WAN,Oh dear. They're shutting down all the controls.
ANAKIN,Move to the right so I can get a clear shot at them.
OBI-WAN,The mission. Get to the Command Ship. Get the Chancellor! I'm running out of tricks here.
OBI-WAN,(continuing) In the name of ...
ANAKIN,Steady . . . steady . . .
OBI-WAN,"Anakin, hold your fire . . . hold your fire. You're not helping here."
ANAKIN,"I agree, bad idea. Swing right . . . ease over . . . steady . . ."
OBI-WAN,"Wait . . . wait . . . I can't see a thing! My cockpit's fogging. They're all over me, Anakin."
ANAKIN,Move to the right.
OBI-WAN,"Hold on, Anakin. You're going to get us both killed! Get out of here. There's nothing more you can do."
ANAKIN,"I'm not leaving without you, Master."
OBI-WAN,Blast it ... I can't see . . . my controls are gone.
ANAKIN,"Get 'em, Artoo. Watch out!"
OBI-WAN,"Artoo, hit the buzz droid's center eye."
ANAKIN,"Yeah, you got him!"
OBI-WAN,"Great, Artoo."
ANAKIN,Stay on my wing . . . the General's Command Ship is dead ahead. Easy . . . pull up ... Head for the hangar.
OBI-WAN,Have you noticed the shields are still up?
ANAKIN,"Oh?!? Sorry, Master."
OBI-WAN,"Oh, I have a bad feeling about this."
OBI-WAN,"Artoo, locate the Chancellor."
ANAKIN,Tap into the ship's computers.
OBI-WAN,The Chancellor's signal is coming from right there. The observation platform at the top of that spire.
ANAKIN,I sense Count Dooku . . .
OBI-WAN,I sense a trap.
ANAKIN,Next move?
OBI-WAN,Spring the trap.
ANAKIN,"Artoo, go back. I need you to stay with the ship."
OBI-WAN,"Here, take this, and wait for orders."
OBI-WAN,"We are here to relieve you of Chancellor Palpatine, not join him."
OBI-WAN,Anakin. . .
ANAKIN,Ready.
OBI-WAN,. . . fuel. The slightest charge from our sabers will send this ship into oblivion. That's why they've stopped shooting.
ANAKIN,"Well then, we're safe for the time being."
OBI-WAN,Your idea of safe is not the same as mine.
ANAKIN,They're sealing this section off.
OBI-WAN,Six droids coming our way!
ANAKIN,Keep moving. There must be vents . . . This way.
OBI-WAN,We'll never get through that. It's too small!
ANAKIN,I found our escape vent.
OBI-WAN,"Anakin, this is no time for jokes. We're in serious trouble here."
ANAKIN,"Only in your mind. My Master. Look, no structure. . . ."
ANAKIN,Here's a way out.
OBI-WAN,That won't hold when the fuel hits those power dischargers.
ANAKIN,The blast will break the hull. This side's pressurized.
OBI-WAN,"You still have much to learn, Anakin."
OBI-WAN,"All right, you win. I have much to learn. Let's go!"
ANAKIN,Destroyers!!
OBI-WAN,Did you press the stop button?
ANAKIN,"No, did you?"
OBI-WAN,No!
ANAKIN,"Well, there's more than one way out of here."
OBI-WAN,"We don't want to get out, we want to get moving. Artoo . . . Artoo. Do you copy? Activate elevator . . . (looks at control panel) . . . 31174 . . ."
OBI-WAN,Artoo?
OBI-WAN,(continuing) Always on the move.
OBI-WAN,"(OS) Artoo, switch on the comlink. Artoo, do you hear me? Artoo, we gave you a job to do! Artoo."
OBI-WAN,"Stop, stop! Artoo, we need to be going up."
OBI-WAN,"(OS) Artoo, do you copy? Artoo, do you hear me? Artoo, we need to be going up, not down."
OBI-WAN,"Stop. Artoo! We need to go up! Stop, stop!"
OBI-WAN,"Now, that's better . . ."
OBI-WAN,"Oh, it's you . . ."
ANAKIN,What was that all about?
OBI-WAN,"Well, Artoo has been . . ."
ANAKIN,No loose wire jokes . . . He's doing the best he can.
OBI-WAN,Did I say anything?
ANAKIN,He's trying!
OBI-WAN,I didn't say anything!
OBI-WAN,(bows) Chancellor.
ANAKIN,Are you all right?
OBI-WAN,(quietly to Anakin) This time we will do it together.
ANAKIN,I was about to say that.
OBI-WAN,"Chancellor Palpatine, Sith Lords are our specialty."
OBI-WAN,"You won't get away this time, Dooku."
ANAKIN,"My powers have doubled since the last time we met, Count."
ANAKIN,I shouldn't . . .
ANAKIN,... I couldn't stop myself.
ANAKIN,"Yes, but he was an unarmed prisoner."
ANAKIN,"(continuing) I shouldn't have done that, Chancellor. It's not the Jedi way."
ANAKIN,"He seems to be all right. No broken bones, breathing's all right."
ANAKIN,His fate will be the same as ours.
ANAKIN,"The elevator's not working, (into his comlink) Artoo . . ."
ANAKIN,(continuing) . . . Activate Elevator 3224.
ANAKIN,"(continuing) Artoo ... do you copy? Artoo, come in!"
ANAKIN,"We can't wait. Come on, we have to be fast."
ANAKIN,Easy. . . . We're in a bit of a situation.
OBI-WAN,Did I miss something?
OBI-WAN,What is that?
OBI-WAN,(continuing) Oops.
ANAKIN,"Artoo, Artoo, shut down the elevator!"
OBI-WAN,Too late! Jump!
OBI-WAN,Let's see if we can find something in the hangar bay that's still flyable. Come on.
ANAKIN,"Artoo, get down here. Artoo, do you copy?"
OBI-WAN,None of those ships will get us anywhere.
ANAKIN,I agree.
ANAKIN,I don't know.
OBI-WAN,Don't look at me. I don't know.
ANAKIN,"Here, Chancellor, lock this around your waist, and hold on."
OBI-WAN,We'll head toward the bridge and see if we can find an escape pod.
ANAKIN,Ray shields!
OBI-WAN,"Wait a minute, how'd this happen! We're smarter than this."
ANAKIN,"Apparently not, Master. This is the oldest trap in the book . . . Well ... I was distracted."
OBI-WAN,"Oh, so all of a sudden it's my fault."
ANAKIN,You're the Master. I'm just a hero.
OBI-WAN,I'm open to suggestions here.
ANAKIN,I say . . . patience.
OBI-WAN,"Patience! That's your plan, is it?"
ANAKIN,"Yes, Artoo will be along in a few moments and he'll release the ray shields . . ."
ANAKIN,(continuing) See! No problem.
OBI-WAN,Do you have a plan B?
OBI-WAN,That depends upon your point of view. Hah!
ANAKIN,General Grievous . . . Supreme Commander of the Droid Armies. You're shorter than I expected.
OBI-WAN,"Anakin, try not to upset him. We have a job to do."
OBI-WAN,Not this time. And this time you won't escape.
ANAKIN,Artoo.
ANAKIN,All the escape pods have been launched.
OBI-WAN,Grievous. Can you fly a cruiser like this?
ANAKIN,"You mean, do I know how to land what's left of this thing?"
OBI-WAN,Well?
ANAKIN,"Under the circumstances, I'd say the ability to pilot this thing is irrelevant. Strap yourselves in."
OBI-WAN,Steady . . . Attitude . . . eighteen degrees.
ANAKIN,"Pressure rising. We've got to slow this wreck down. Open all hatches, extend all flaps, and drag fins."
OBI-WAN,"Temp steady. Hatches open, flaps extended, drag fins . . ."
ANAKIN,We lost something.
OBI-WAN,"Not to worry, we're still flying half the ship."
ANAKIN,Now we're really picking up speed . . . I'm going to shift a few degrees and see if I can slow us down.
OBI-WAN,Careful . . . we're heating up-twelve thousand . . . thirteen thousand . . .
ANAKIN,What's our speed?
OBI-WAN,"Eight plus sixty-forty. Eight plus sixty-twenty. Eight plus sixty. Temp ten thousand, nine thousand . . . we're in the atmosphere . . ."
ANAKIN,Grab that . . . Keep us level.
OBI-WAN,Steady. Steady.
ANAKIN,"Easy, Artoo. Hang on, this may get a little rough. We lost our heat shields."
OBI-WAN,Five thousand. Three thousand . . . two thousand. Fireships on the left and the right.
OBI-WAN,Copy that. Landing strip's straight ahead.
ANAKIN,We're coming in too hot.
OBI-WAN,Easy-easy.
OBI-WAN,Another happy landing.
ANAKIN,"(to Obi-Wan) Are you coming, Master?"
OBI-WAN,"Oh no. I'm not brave enough for politics. I have to report to the Council. Besides, someone needs to be the poster boy."
ANAKIN,"Hold on, this whole operation was your idea. You planned it. You led the rescue operation. You have to be the one to take the bows this time."
OBI-WAN,"Sorry, old friend. Let us not forget that you rescued me from the Buzz Droids. And you killed Count Dooku. And you rescued the Chancellor, carrying me unconscious on your back, and you managed to land that bucket of bolts safely . . ."
ANAKIN,"All because of your training, Master. You deserve all those speeches of your greatness."
OBI-WAN,". . . the endless speeches . . . Anakin, let's be fair. Today, you are the hero and you deserve your glorious day with the politicians."
ANAKIN,All right. But you owe me . . . and not for saving your skin for the tenth time . . .
OBI-WAN,Ninth time . . . that business on Cato Nemoidia doesn't count. I'll see you at the briefing.
ANAKIN,"Thank you, Senator Organa. The kidnapping was a bold move by the Separatists, but it was a mistake that Obi-Wan and I were able to take advantage of."
C-3PO,It couldn't possibly be as bad as all that.
C-3PO,"(continuing) Well, there, I agree with you. In fact, I could do with a tune-up myself."
ANAKIN,"I wish that were so, but the fighting is going to continue until General Grievous is spare parts . . . The Chancellor is very clear about that."
ANAKIN,Excuse me.
PADME,"Oh, Anakin! Thank goodness, you're back."
ANAKIN,"I missed you, Padme. I've missed you so."
PADME,There were whispers . . . that you'd been killed. I've been living with unbearable dread.
ANAKIN,"I'm back, I'm all right. It feels like we've been apart for a lifetime. And it might have been ... If the Chancellor hadn't been kidnapped. I don't think they would have ever brought us back from the Outer Rim sieges."
PADME,"Wait, not here . . ."
ANAKIN,"Yes, here! I'm tired of all this deception. I don't care if they know we're married."
PADME,"Anakin, don't say things like that. You're important to the Republic ... to ending this war. I love you more than anything, but I won't let you give up your life as a Jedi for me . . ."
ANAKIN,"I've given my life to the Jedi order, but I'd only give up my life, for you."
PADME,"(playfully) I wouldn't like that. I wouldn't like that one bit. Patience, my handsome Jedi . . . Come to me later."
ANAKIN,Are you all right? You're trembling. What's going on?
PADME,I'm just excited to see you.
ANAKIN,That's not it. I sense more . . . what is it?
PADME,Nothing . . . nothing . . .
ANAKIN,You're frightened. (a little angry) Tell me what's going on!
PADME,You've been gone five months . . . it's been very hard for me. I've never felt so alone. There's . . .
