character,dialogue
THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!
THREEPIO,We're doomed!
THREEPIO,There'll be no escape for the Princess this time.
THREEPIO,What's that?
THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...
THREEPIO,"Artoo! Artoo-Detoo, where are you?"
THREEPIO,At last!  Where have you been?
THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!
THREEPIO,"Wait a minute, where are you going?"
VADER,Where are those transmissions you intercepted?
VADER,If this is a consular ship... where is the Ambassador?
VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!"
THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure.."
THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you."
THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!
THREEPIO,I'm going to regret this.
THREEPIO,"That's funny, the damage doesn't look as bad from out here."
THREEPIO,Are you sure this things safe?
LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic..."
VADER,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you."
LEIA,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
VADER,You're a part of the Rebel Alliance... and a traitor.  Take her away!
VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!
VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!
VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time."
THREEPIO,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.
THREEPIO,I've got to rest before I fall apart.  My joints are almost frozen.
THREEPIO,What a desolate place this is.
THREEPIO,Where are you going?
THREEPIO,"Well, I'm not going that way.  It's much too rocky.  This way is much easier."
THREEPIO,What makes you think there are settlements over there?
THREEPIO,Don't get technical with me.
THREEPIO,"What mission?  What are you talking about?  I've had just about enough of you!  Go that way!  You'll be malfunctioning within a day, you nearsighted scrap pile!"
THREEPIO,"And don't let me catch you following me begging for help, because you won't get it."
THREEPIO,No more adventures.  I'm not going that way.
THREEPIO,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he'll do no better."
THREEPIO,"Wait, what's that?  A transport!  I'm saved!"
THREEPIO,"Over here!  Help!  Please, help!"
THREEPIO,Artoo-Detoo!  It's you!  It's you!
THREEPIO,Wake up!  Wake up!
THREEPIO,We're doomed.
THREEPIO,Do you think they'll melt us down?
THREEPIO,Don't shoot!  Don't shoot!  Will this never end?
THREEPIO,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...
THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...
THREEPIO,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce..."
THREEPIO,"Shutting up, sir."
THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain."
