character,dialogue
VADER,"You may dispense with the pleasantries, Commander. I'm here to put you back on schedule."
VADER,Perhaps I can find new ways to motivate them.
VADER,The Emperor does not share your optimistic appraisal of the situation.
VADER,Then perhaps you can tell him when he arrives.
VADER,"That is correct, Commander. And he is most displeased with your apparent lack of progress."
VADER,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am."
THREEPIO,"Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place."
THREEPIO,"Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, You'd probably short-circuit."
THREEPIO,"Artoo, are you sure this is the right place? I better knock, I suppose."
THREEPIO,There doesn't seem to be anyone there. Let's go back and tell Master Luke.
THREEPIO,Goodness gracious me!
THREEPIO,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.
THREEPIO,"I don't think they're going to let us in, Artoo. We'd better go."
THREEPIO,"Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this."
THREEPIO,"Oh, Artoo!  Artoo, wait for me!"
THREEPIO,"Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no."
THREEPIO,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt."
THREEPIO,"... and a gift.  Gift, what gift?"
THREEPIO,He says that our instructions are to give it only to Jabba himself.
THREEPIO,I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things.
THREEPIO,"Artoo, I have a bad feeling about this."
THREEPIO,Good morning.
JABBA,Bo Shuda!
THREEPIO,"The message, Artoo, the message."
THREEPIO,What did he say?
THREEPIO,"This can't be! Artoo, you're playing the wrong message."
JABBA,There will be no bargain.
THREEPIO,We're doomed.
JABBA,I will not give up my favorite decoration. I like Captain Solo where he is.
THREEPIO,"Artoo, look! Captain Solo. And he's still frozen in carbonite."
THREEPIO,What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!
THREEPIO,"I am See-Threepio, human-cy..."
THREEPIO,"Oh. Well, yes."
THREEPIO,"I am fluent in over six million forms of communication, and can readily..."
THREEPIO,Disintegrated?
THREEPIO,"Artoo, don't leave me! Ohhh!"
JABBA,Da Eitha!
JABBA,Boscka!
THREEPIO,"Oh, no! Chewbacca!"
JABBA,At last we have the mighty Chewbacca.
THREEPIO,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!"
THREEPIO,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand.
THREEPIO,"Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand."
THREEPIO,Because he's holding a thermal detonator.
JABBA,This bounty hunter is my kind of scum. Fearless and inventive.
THREEPIO,Jabba offers the sum of thirty-five. And I suggest you take it.
THREEPIO,He agrees!
HAN,I can't see.
HAN,Where am I?
HAN,Who are you?
LEIA,Someone who loves you.
HAN,Leia!
LEIA,I gotta get you out of here.
HAN,What's that? I know that laugh.
HAN,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault."
JABBA,"It's too late for that, Solo. You may have been a good smuggler, but now you're Bantha fodder."
HAN,Look...
JABBA,Take him away!
HAN,Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be a fool!
JABBA,Bring her to me.
LEIA,We have powerful friends. You're gonna regret this...
JABBA,I'm sure.
LEIA,Ugh!
THREEPIO,"Ohhh, I can't bear to watch."
HAN,"Chewie? Chewie, is that you?"
HAN,Ah! Chew--Chewie!
HAN,"Wait. I can't see, pal. What's goin' on?"
HAN,"Luke? Luke's crazy. He can't even take care of himself, much less rescue anybody."
HAN,"A...Jedi Knight? I--I'm out of it for a little while, everybody gets delusions of grandeur."
HAN,"I'm all right, pal. I'm all right."
THREEPIO,At last! Master Luke's come to rescue me.
JABBA,I told you not to admit him.
JABBA,You weak-minded fool! He's using an old Jedi mind trick.
JABBA,"Your mind powers will not work on me, boy."
THREEPIO,"Master Luke, you're standing on..."
JABBA,"There will be no bargain, young Jedi. I shall enjoy watching you die."
JABBA,Bascka!
THREEPIO,"Oh, no! The Rancor!"
JABBA,Bring me Solo and the Wookiee. They will all suffer for this outrage.
HAN,Luke!
HAN,"Fine. Together again, huh?"
HAN,How are we doing?
HAN,"That bad, huh? Where's Leia?"
LEIA,I'm here.
THREEPIO,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately."
HAN,"Good, I hate long waits."
THREEPIO,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc."
HAN,Doesn't sound so bad.
THREEPIO,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years."
HAN,"On second thought, let's pass on that, huh?"
HAN,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur."
HAN,"You're gonna die here, you know. Convenient."
HAN,Oh... great!
JABBA,Soon you will learn to appreciate me.
THREEPIO,"Oh, I'm terribly sor... Artoo! What are you doing here?"
THREEPIO,"Well, I can see you're serving drinks, but this place is dangerous. They're going to execute Master Luke and, if we're not careful, us too!"
THREEPIO,Hmm.  I wish I had your confidence.
THREEPIO,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas."
HAN,"Threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. Right?"
JABBA,Move him into position.
JABBA,Put him in.
HAN,"Chewie, you okay? Where is he?"
HAN,"I'm okay, pal."
HAN,Lando!
HAN,Boba Fett?! Boba Fett?! Where?
HAN,"Lando, grab it!"
HAN,I'm trying!
HAN,"Whoa! Whoa! Grab me, Chewie! I'm slipping."
HAN,Grab it! L--Lando. Grab!
HAN,Grab it! Almost... You almost got it!
HAN,"Gently now. All... all right. Now easy, easy. Hold me, Chewie."
HAN,"Chewie! Chewie, give me the gun. Don't move, Lando."
HAN,It's all right. Trust me. Don't move.
HAN,"Chewie, Pull us up! Come on! Okay... up, Chewie, up!"
LEIA,Come on. We gotta get out of here quick.
THREEPIO,"Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!"
THREEPIO,"Artoo, where are we going? I couldn't possibly jump."
HAN,I don't know. All I can see is a lot of blowing sand!
LEIA,That's all any of us can see.
HAN,Then I guess I'm getting better.
HAN,"I've got to hand it to you, kid, you were pretty good out there."
HAN,"No, I'm thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn't just sleepin'. It was a big wide awake nothing!"
HAN,Why don't you leave that crate and come with us?
HAN,"Guess I owe you some thanks, too, Lando."
LEIA,He means \You're welcome.\
LEIA,Hurry. The Alliance should be assembled by now.
HAN,"Hey, Luke, thanks. Thanks for comin' after me. Now I owe you one."
VADER,The Death Star will be completed on schedule.
VADER,"Yes, my Master."
VADER,As you wish.
YODA,Hmm. That face you make. Look I so old to young eyes?
YODA,"I do, yes, I do!  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm?"
YODA,"Soon will I rest. Yes, forever sleep. Earned it, I have."
YODA,Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.
YODA,No more training do you require. Already know you that which you need.
YODA,"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will."
YODA,Mmm... rest I need. Yes... rest.
YODA,Your father he is.
YODA,"Told you, did he?"
YODA,"Unexpected this is, and unfortunate.."
YODA,No. Unfortunate that you rushed to face him... that incomplete was your training. Not ready for the burden were you.
